,Reg no.,Name,Incorp-orated,Dissolved,Type
37,0000551,"HONGKONG TUNG YIK LAND INVESTMENT COMPANY, LIMITED (THE)",1923-11-26,1956-02-17,"Private, ltd by shares"
38,0000517,"HOP HING STEAMSHIP COMPANY, LIMITED",1923-07-11,1952-03-24,"Private, ltd by shares"
39,0000521,"HOP SING TAI COMPANY, LIMITED (THE)",1923-08-04,1927-08-11,"Private, ltd by shares"
40,0000556,"HUGHES AND HOUGH, LIMITED",1923-12-13,,"Private, ltd by shares"
41,0000539,"HUNG HING CHEUNG COMPANY, LIMITED (THE)",1923-10-25,1925-04-17,"Private, ltd by shares"
42,0000552,"HYSAN ESTATES LIMITED",1923-11-27,2019-11-22,"Private, ltd by shares"
43,0000476,"J. L. THOMPSON AND COMPANY (RETAIL) LIMITED",1923-01-05,1950-06-23,"Private, ltd by shares"
44,0000477,"J. L. THOMPSON AND COMPANY, LIMITED",1923-01-05,1950-08-04,"Private, ltd by shares"
45,0000506,"J. M. ALVES AND COMPANY, LIMITED",1923-05-31,1972-08-20,"Private, ltd by shares"
46,0002069,"JARDINE ENGINEERING CORPORATION, LIMITED (THE)
怡和機器有限公司",1923-02-15,,"Private, ltd by shares"
47,0000499,"KAI TACK MOTOR BUS COMPANY, LIMITED",1923-04-27,1927-08-05,"Private, ltd by shares"
48,0000529,"KAI TAI LAND AND INVESTMENT COMPANY, LIMITED (THE)",1923-09-08,1934-02-22,"Private, ltd by shares"
49,0000558,"KIN LEE MOTOR LIGHTER COMPANY, LIMITED (THE)",1923-12-24,1930-10-09,"Private, ltd by shares"
50,0000485,"KITSEN COMPANY, LIMITED",1923-02-12,1927-02-12,"Private, ltd by shares"
51,0000503,"KUNG YIK BANK, LIMITED (THE)",1923-05-09,1924-08-15,"Private, ltd by shares"
52,0000480,"KWOK HING NAVIGATION COMPANY, LIMITED",1923-01-18,1956-02-17,"Private, ltd by shares"
53,0000493,"KWONG SUN COMPANY, LIMITED (THE)",1923-03-27,1933-12-22,"Private, ltd by shares"
54,0000508,"KWONG TAK CHEONG SHIPBUILDING ENGINEERING AND LOCK COMPANY, LIMITED (THE)",1923-06-01,1934-09-12,"Private, ltd by shares"
55,0000528,"KWONG TUNG MINING COMPANY, LIMITED (THE)",1923-09-04,1925-10-23,"Private, ltd by shares"
56,0000498,"KYOSHIUSHA, LIMITED",1923-04-24,1935-01-11,"Private, ltd by shares"
57,0000546,"LAI YEE COMPANY, LIMITED (THE)",1923-11-14,1965-03-26,"Private, ltd by shares"
58,0000559,"LEE COMPANY, LIMITED (THE)",1923-12-24,1927-08-10,"Private, ltd by shares"
59,0000494,"METROPOLE TRADING COMPANY, LIMITED",1923-03-29,1924-07-04,"Private, ltd by shares"
60,0000543,"MUTUAL BANK OF CHINA, LIMITED (THE)",1923-11-09,1925-12-31,"Private, ltd by shares"
61,0000526,"NATIONAL OPTICAL COMPANY, LIMITED (THE)",1923-08-24,1927-11-04,"Private, ltd by shares"
62,0000496,"ON FAT STEAMBOAT COMPANY, LIMITED (THE)",1923-04-12,1931-06-19,"Private, ltd by shares"
63,0000518,"ON HING COMPANY, LIMITED (THE)",1923-07-16,1936-01-02,"Private, ltd by shares"
64,0000520,"ON TAI STEAMSHIP COMPANY, LIMITED (THE)",1923-07-31,1926-05-14,"Private, ltd by shares"
65,0000557,"ORIENTAL REALTY AND SAVINGS SOCIETY, LIMITED",1923-12-20,1925-03-27,"Private, ltd by shares"
66,0000488,"PRINCE'S BUILDING AND LAND COMPANY, LIMITED",1923-02-19,1928-07-16,"Private, ltd by shares"
67,0000519,"PROPERITY TRADING COMPANY, LIMITED",1923-07-31,1928-05-11,"Private, ltd by shares"
68,0000549,"RADIO COMMUNICATION COMPANY (ORIENT) LIMITED (THE)",1923-11-19,1927-09-02,"Private, ltd by shares"
69,0000535,"RATHSAM &amp; WATT, LIMITED",1923-10-05,1925-12-24,"Private, ltd by shares"
70,0000500,"REISS, BRADLEY &amp; COMPANY LIMITED (d1981-12-23)",1923-04-28,1981-12-23,"Private, ltd by shares"
71,0000474,"ROBERTSON WILSON &amp; COMPANY, LIMITED",1923-01-02,2002-02-15,"Private, ltd by shares"
72,0000542,"RURAL LAND INVESTMENT COMPANY, LIMITED (THE)",1923-11-07,1928-04-13,"Private, ltd by shares"
73,0000495,"SHANGHAI HOTELS, LIMITED (THE)",1923-04-12,1926-05-01,"Ltd by guarantee"
74,0000522,"SHANGHAI KWONG YICK LAND AND INVESTMENT COMPANY LIMITED (THE)",1923-08-04,1933-02-17,"Private, ltd by shares"
75,0000481,"SHIU ON WING AND COMPANY, LIMITED",1923-01-25,1956-02-17,"Private, ltd by shares"
76,0000537,"SHUM HONG STEAMSHIP COMPANY, LIMITED",1923-10-17,1957-08-09,"Private, ltd by shares"
77,0000513,"SOUTH CHINA HEUNG AH COMPANY, LIMITED (THE)",1923-06-25,1925-10-30,"Private, ltd by shares"
78,0000561,"STANDARD INVESTMENTS LIMITED (d1970-08-11)",1923-12-31,1970-08-11,"Private, ltd by shares"
79,0000534,"TAI TAK LAND INVESTMENT COMPANY, LIMITED",1923-09-25,1933-06-02,"Private, ltd by shares"
80,0000497,"TAI TUNG COMPANY, LIMITED (THE)",1923-04-19,1927-02-18,"Private, ltd by shares"
81,0000531,"TUNG LEE STEAMSHIP COMPANY, LIMITED (THE)",1923-09-12,1926-10-22,"Private, ltd by shares"
82,0000484,"UNITED FERTILIZER COMPANY, LIMITED (THE)",1923-02-09,1930-07-25,"Private, ltd by shares"
83,0000479,"WANG YIP COMPANY, LIMITED",1923-01-17,1933-06-09,"Private, ltd by shares"
84,SO0000050,"WAR MEMORIAL NURSING HOME",1923-01-01,1949-10-07,"Inc by ordinance"
85,0000490,"WHEELOCK PROPERTIES LIMITED
會德豐地產有限公司",1923-03-17,,"Private, ltd by shares"
86,0000516,"WING HING STEAMSHIP COMPANY, LIMITED",1923-07-11,1952-03-24,"Private, ltd by shares"
87,0000541,"WING WO COMPANY, LIMITED",1923-11-06,1927-01-07,"Private, ltd by shares"
88,0000560,"YAN YEE TUG AND LIGHTER COMPANY, LIMITED (THE)",1923-12-27,1930-07-25,"Private, ltd by shares"
89,0000478,"YE OLDE PRINTERIE LIMITED",1923-01-06,,"Private, ltd by shares"
90,0000532,"YEE KEE HONG (SHIPCHAUDLER) COMPANY, LIMITED",1923-09-17,1956-02-17,"Private, ltd by shares"
91,0000533,"YING WAH LIGHTER AND TRANSPORTATION COMPANY, LIMITED (THE)",1923-09-21,1930-07-25,"Private, ltd by shares"
